index,req,ts,engine,cmdtr,tr,rsp,send,recv,rts,rengine,rtr,accep,rtt1,rtt2,rtt3,rtt4,rtt5,rtt6,rtt7,rtt8,rtt9,rtt10,rtt11,rtt
778,672679313,672679315,672679317,672679332,672679350,672679350,672679334,672714609,672714609,672714612,672714620,672714626,2,2,15,33,0,-16,35275,0,3,8,6,35313
4129,835666860,835666862,835666865,835666880,835666894,835666896,835666882,835701548,835701548,835701551,835701558,835701564,2,3,15,29,2,-12,34666,0,3,7,6,34704
5322,912692862,912692863,912692866,912692885,912692897,912692900,912692887,912728730,912728730,912728733,912728738,912728743,1,3,19,31,3,-10,35843,0,3,5,5,35881
5323,912692878,912692880,912692901,912692905,912692910,912692929,912692907,912729275,912729275,912729278,912729283,912729289,2,21,4,9,19,-3,36368,0,3,5,6,36411
5324,912693047,912693048,912693052,912693062,912693070,912693071,912693063,912729320,912729320,912729323,912729327,912729331,1,4,10,18,1,-7,36257,0,3,4,4,36284
5325,912693047,912693050,912693072,912693076,912693081,912693087,912693092,912728497,912728497,912728501,912728509,912728514,3,22,4,9,6,11,35405,0,4,8,5,35467
5326,912693323,912693327,912693330,912693338,912693346,912693346,912693339,912728774,912728774,912728777,912728781,912728785,4,3,8,16,0,-7,35435,0,3,4,4,35462
5327,912693323,912693328,912693347,912693351,912693356,912693381,912693365,912729413,912729413,912729416,912729421,912729425,5,19,4,9,25,9,36048,0,3,5,4,36102
5328,912693324,912693329,912693357,912693361,912693366,912693381,912693365,912729471,912729471,912729474,912729478,912729482,5,28,4,9,15,-1,36106,0,3,4,4,36158
5330,912693847,912693851,912693853,912693860,912693867,912693867,912693862,912730036,912730036,912730039,912730044,912730048,4,2,7,14,0,-5,36174,0,3,5,4,36201
5331,912693847,912693852,912693868,912693873,912693877,912693906,912693887,912760943,912760943,912760946,912760951,912760956,5,16,5,9,29,10,67056,0,3,5,5,67109
5332,912693848,912693853,912693878,912693881,912693885,912693906,912693887,912730615,912730615,912730618,912730623,912730627,5,25,3,7,21,2,36728,0,3,5,4,36779
5333,912693848,912693853,912693886,912693890,912693894,912693906,912693919,912760945,912760945,912760951,912760953,912760959,5,33,4,8,12,25,67026,0,6,2,6,67111
5334,912694128,912694132,912694134,912694142,912694150,912694151,912694143,912761000,912761000,912761003,912761007,912761012,4,2,8,16,1,-7,66857,0,3,4,5,66884
5335,912694128,912694133,912694151,912694155,912694160,912694166,912694171,912760704,912760704,912760707,912760713,912760720,5,18,4,9,6,11,66533,0,3,6,7,66592
5336,912694128,912694133,912694161,912694164,912694169,912694190,912694172,912761122,912761122,912761125,912761129,912761132,5,28,3,8,21,3,66950,0,3,4,3,67004
5338,912694367,912694370,912694390,912694395,912694400,912694423,912694410,912761171,912761171,912761174,912761178,912761182,3,20,5,10,23,10,66761,0,3,4,4,66815
5339,912694579,912694580,912694583,912694590,912694597,912694598,912694591,912760734,912760734,912760737,912760742,912760746,1,3,7,14,1,-6,66143,0,3,5,4,66167
