index,req,ts,engine,cmdtr,tr,rsp,send,recv,rts,rengine,rtr,accep,rtt1,rtt2,rtt3,rtt4,rtt5,rtt6,rtt7,rtt8,rtt9,rtt10,rtt11,rtt
1830,276816447,276816448,276816450,276816453,276816458,276816469,276816460,276818728,0,276818731,276818733,276818738,1,2,3,8,11,2,2268,-276818728,276818731,2,5,2291
1831,277252405,277252406,277252408,277252413,277252420,277252431,277252422,277254882,0,277254885,277254887,277254892,1,2,5,12,11,2,2460,-277254882,277254885,2,5,2487
1832,277255001,277255002,277255004,277255007,277255012,277255018,277255013,277257331,0,277257334,277257336,277257341,1,2,3,8,6,1,2318,-277257331,277257334,2,5,2340
1833,277257581,277257582,277257584,277257587,277257591,277257598,277257592,277259834,0,277259837,277259839,277259844,1,2,3,7,7,1,2242,-277259834,277259837,2,5,2263
1834,277415426,277415427,277415429,277415433,277415438,277415448,277415439,277418653,0,277418655,277418659,277418664,1,2,4,9,10,1,3214,-277418653,277418655,4,5,3238
1835,277986670,277986671,277986673,277986680,277986686,277986698,277986688,277989302,0,277989306,277989308,277989313,1,2,7,13,12,2,2614,-277989302,277989306,2,5,2643
1836,278863413,278863416,278863433,278863439,278863444,278863455,278863449,278868458,0,278868460,278868462,278868467,3,17,6,11,11,5,5009,-278868458,278868460,2,5,5054
1837,278863413,278863414,278863416,278863423,278863431,278863441,278863433,278868411,0,278868414,278868417,278868422,1,2,7,15,10,2,4978,-278868411,278868414,3,5,5009
1838,279480253,279480254,279480256,279480264,279480277,279480279,279480273,279483700,0,279483702,279483706,279483711,1,2,8,21,2,-4,3427,-279483700,279483702,4,5,3458
1839,280398456,280398458,280398460,280398466,280398473,280398481,280398474,280400997,0,280401000,280401003,280401008,2,2,6,13,8,1,2523,-280400997,280401000,3,5,2552
1840,280613677,280613678,280613680,280613683,280613688,280613699,280613690,280616182,0,280616185,280616187,280616192,1,2,3,8,11,2,2492,-280616182,280616185,2,5,2515
1841,280696460,280696461,280696463,280696468,280696474,280696490,280696477,280698841,0,280698843,280698846,280698850,1,2,5,11,16,3,2364,-280698841,280698843,3,4,2390
